Topic,TokenCount,Words
0,17122,"food plant management development education gene disease control genetics production"
1,17327,"food plant management education disease development genetics gene control analysis"
2,17460,"food plant management education gene disease analysis development control research"
3,17250,"food plant management education gene analysis development disease genetics animal"
4,17364,"food plant management disease education development gene control production soil"
5,17589,"food plant management gene development education disease genetics analysis control"
6,17287,"food plant management education disease genetics development gene water control"
7,17209,"food plant management education disease gene development analysis genetics control"
8,17179,"plant food management education disease genetics development gene control quality"
9,17488,"food plant management disease education development gene genetics analysis production"
10,17060,"food plant management education genetics water gene disease development control"
11,17321,"food plant management education disease development gene analysis control genetics"
12,17261,"plant food disease management education development analysis gene water genetics"
13,17332,"food plant management education development gene disease control analysis genetics"
14,17460,"food plant management education gene disease development analysis research control"
15,17403,"food plant management education development disease gene genetics control agriculture"
16,17498,"food plant management education gene development disease genetics control animal"
17,17588,"food plant management education gene genetics development disease control analysis"
18,17547,"food plant management education gene disease development water genetics analysis"
19,17421,"food plant management gene education development analysis animal disease genetics"
20,17438,"food plant management education disease gene control genetics quality development"
21,17295,"food plant management disease education development gene analysis control genetics"
22,17311,"food plant management education genetics gene disease research development analysis"
23,17322,"food plant management education disease gene development analysis genetics animal"
24,17361,"food plant management education development genetics disease gene analysis control"
