TYPE,Grantee Name,Accession Number,Award Number,Project Title,Sponsoring Agency,Funding Mechanism,Award Amount,Project Director Full Name,Project Status,Non-Technical Summary,Objectives,Keywords
PROJECT,"PENNSYLVANIA STATE UNIVERSITY, THE",1007974,2016-67011-24702,Physicochemical Modification of an Immunodominant Gliadin Peptide with Dietary Polyphenols and the Potential Implications for Celiac Disease,National Institute of Food and Agriculture,NIFA Non Formula,70874.0,"Van Buiten, CH, B.",ACTIVE,"Celiac disease (CD) is an autoimmune enteropathy that affects 1% of the world population, characterized by adverse reactions to gluten upon consumption, resulting in inflammation and permanent damage to the small intestine. The goal of this proposal is to demonstrate ways in which commonly consumed dietary polyphenols found in plant-based foods can attenuate CD-related intestinal permeability and inflammation by interacting with gliadin, the immunostimulatory subunit of gluten. The first objective is to elucidate the mechanism of interaction between gliadin and a series of phenolic compounds and determine the physical characteristics of the complexes formed. The second objective will investigate the effects of gliadin-polyphenol complex (GPC) formation on the stimulation intestinal permeability and inflammation using an in vitro model of the small intestine lining and immune cells. I hypothesize that gliadin will form complexes with phenolic compounds which will modify protein structure, reducing or eliminating the potential for gliadin to stimulate the intestinal damage associated with CD. Alternative therapies for the treatment and prevention of symptoms associated with Celiac disease have been explored extensively, though their availability for general use is limited. The potential development of a supportive treatment of Celiac disease with naturally derived, dietary compounds (e.g., phenolics) would provide a safe and accessible alternative for the prevention or alleviation of symptoms of the associated autoimmune response. This work will advance our understanding of the health benefits of dietary polyphenols and their potential role in alleviating symptoms of chronic diseases initiated by food proteins. This predoctoral research proposal addresses the A7101 program priority: Food, safety nutrition and health, taking an innovative approach to exploring the mitigation of the immunological potential of proteins that are harmful to some individuals using naturally occurring, commonly consumed dietary compounds as a therapeutic agent.","Plant-derived phenolic compounds have been studied extensively for their potential health benefits as antioxidants, anti-inflammatory and anti-obesity compounds. However, their role in the attenuation of food allergy and sensitivities has been understudied. Food allergies and sensitivities are characterized by reactions to specific proteins; the natural tendency of polyphenols to interact with protein may prevent or reduce the immunostimulatory effects of these proteins upon consumption.The overall goal of this proposal is to determine the extent to which polyphenols may reduce the immunogenicity of gliadin, the immunostimulatory subunit of gluten, and elucidate the underlying chemical mechanisms of action in an in vitro model of CD. My central hypothesis is that upon exposure to plant-derived polyphenols, gliadin forms protein-polyphenol complexes that have reduced CD-related immunogenicity. This work will provide a potential approach for the mitigation of CD symptoms, and is potentially applicable to other allergy-related food proteins.This project will be outlined by completion of the following objectives:Objective 1. Characterize the interactions that drive complex formation between polyphenols and a2-gliadin and elucidate the impact of interaction on native a2-gliadin structure. I aim to elucidate the mechanisms by which a2-gliadin and polyphenols interact in order to make predictions regarding the extent to which these interactions may modify gliadin structure and, potentially, reduce its immunogenic activity. By binding to and blocking the key epitope regions of the peptide, polyphenols may effectively sequester the peptide from the key receptors in CD pathogenesis that recognize the polyproline II helix motif of a2-gliadin.Objective 2. Investigate the effect of GPC formation on the on CD-related intestinal permeability and inflammation in vitro. In this objective, I seek to measure the effects of GPC formation on increases in intestinal permeability and enterocyte inflammation in vitro. Caco-2 cells grown in a transwell model will be used to simulate the human intestinal barrier; these cells form a polarized mature intestine-like monolayer, and have been used in previous studies to examine gliadin translocation and gut permeability. Caco-2 cells will be co-cultured with monocytes in type I bovine collagen according to previously established methods. This co-culture method better mimics the complexity of the intestinal barrier in vivo by including competent immune cells. In each experiment, gliadin treatments (untreated a2-gliadin control or GPCs) will be added to the apical compartment of the transwell system at 0.5 mg/ml and incubated for 48h.","celiac disease, dietary polyphenol, gliadin, intestinal permeability, protein-polyphenol interaction"
PROJECT,SAES - RUTGERS UNIVERSITY (COOK COLLEGE),1007979,2016-67012-24690,Investigating mechanism-based strategies against trichothecenes and environmental toxins,National Institute of Food and Agriculture,NIFA Non Formula,149090.0,"Lee, SA.",ACTIVE,"Trichothecenes areubiquitoustoxic secondary metabolites produced by pathogenic fungi in host plants such as wheat, barley, oats, and maize. Due to their natural occurrence in food and high toxicity, trichothecene contamination of food and livestock feed (&gt;78% toxin present) poses a great threat to food safety and human, animal, and planthealth.However, there is a critical gap in our knowledge about the way the toxin works in living cells leading to toxicity that endangersanimals and humans. Previous studies identified novel mechanisms for trichothecene-induced cell death involving themitochondria, an important component of thecell that functions to help produce energy. These studies have shown that the toxin-induced cell death involved mitochondria and genes involved in lipid metabolisms which mediated sensitivity to these toxins. Therefore, the proposed project will study the role oflipid signaling as a mitochondrial &#39;surveillance&#39; mechanism induced in response to trichothecene-mediated stress.Applying high-throughput methods in molecular biology and biochemistry, this research will identify lipids altered in response to toxin treatment and determine if lipid signaling is important for trichothecene-mediated mitochondrial fragmentation. It will also measure therecognition and degradation of trichothecene-damaged mitochondria by mitophagy, a selective degradation of damaged mitochondria. The research will identify critical components of the mitochondrial-nuclear signaling pathways using yeast (highly conserved between yeasts and animal cells) and then investigate them in more detail in animal cells. This research will leadto new insights into how these toxins modulate themitochondria and mitochondrial signaling and advance our understanding of mechanisms whereby environmental toxins derail the fate of mitochondria in the affected animals. The knowledge gained here will aid efforts to mitigate the impacts of trichothecene contamination in food and food safety; facilitating the development of safer practice and standards in human and animal consumption of contaminated products.Ultimately, the project will aid in promoting safer food, developing potential applications for animal health improvement, and reducing economic losses due to trichothecene contamination. ","There are twoprimary goals, research and professional development, in this project. First major goal is toidentify critical components of mitochondrial signaling in response to trichothecene-mediated oxidative stress. The project aims to discover the role of lipid and lipid signaling in trichothecene toxicity and provide new ways to quantify mitophagy. Accordingly, the project will address the following objectives:1) Determine the role of lipid signaling in trichothecene-induced mitochondrial fragmentation and mitophagy.2) Determine the role of sphingolipid signaling in trichothecene-induced mitophagy.3) Validate trichothecene-induced mitochondria fragmentation in mammalian cell.Second goal is the professional training and career development of the NIFA postdoctoral fellow. Accordingly, the following objectives are:1) Develop technicalexpertise and knowledge in molecular and biotechnology and toxin mechanism studies including imaging and analysis, flow cytometry, LC-MS/MS, transformation technologies, etc.2) Advance teaching competencies by developing a course focused on science related to postdoctoral fellow&#39;s expertisesuch as plant biology, pathology,and microbiologyand/or scientific communication skill development such as grantsmanship.3) Obtain research independence through publications and generating new grant proposals.4) Leadership and communication skill development through outreach activities such as presentation of research at scientific meetings, guest lectures, publications (formal and informal), and student mentoring in aspects of scientific research and grant writing.","environmental toxins, lipid signaling, mammalian cell, mitochondria, toxicity, trichothecenes, yeast"
PROJECT,SAES - MICHIGAN STATE UNIVERSITY,1008004,2016-67011-24713,Bovine Leukemia Virus Infection And Its Effect On The Immune Competence Of Dairy Cattle,National Institute of Food and Agriculture,NIFA Non Formula,79000.0,"Frie, ME.",ACTIVE,"Bovine leukemia virus (BLV) is a common infection in U.S. dairy herds. A 2007 USDA NAHMS study estimated that 83% of U.S. dairy herds are infected with BLV, and approximately 25%-50% of animals within aBLV-positiveherd are infected with BLV. Until recently, BLV was not considered to be economically important to dairy production in the U.S. In contrast, 21 European countries aggressively eradicated the disease and are now considered BLV-free. BLV infection rates in the U.S. are too high for aggressive strategies. Instead, lowering BLV infection rates will depend on producers and management strategies to reduce BLV infection.BLV infection rates in the U.S. are so high because the infection was thought to cause disease very rarely. Only 1%-10% of BLV-infected cows will develop cancer in their lifetime. However, it is likely that BLV has more negative effects on dairy herd health beyond cancer.BLV already costs the dairy industry $520 million every year, due to the lower milk production and shorter life expectancy of BLV-positivecows. BLV infection also likely causes immune suppression, which would put BLV-positivecows at risk for developing other infectious diseases that have a major economic impact on dairy production. The purpose of this project is to determineif BLV-positivecows are immune suppressed. Studying the immune system of BLV-positivecows is important for understanding overall herd health and production in U.S. dairy herds, which makes this project highly relevant to USDA-NIFA.","The first goal of this project is to determineif bovine leukemia virus (BLV)-infected dairy cows are less able to mount adaptive immune responses to other stimuli when compared to healthy, BLV-uninfected cows. This goal is in line with the larger investigation into whether BLV increases the susceptibility of dairy cows to other infectious diseases of econoomic importance. Because BLV is so widespread in American dairy herds, any immune suppressive effects of BLV infection could have a large, negative impact on both the welfare and production of dairy herds.The second goal of this project is to develop the skills and career of the project director as a scientist. The demands on the project director will enable learning critical skills including, but not limited to, managing a grant, directing a scientific program, scientific writing andgiving scientific presentations.","antibodies, bovine leukemia virus, immune dysfunction, t cells, vaccine"
PROJECT,MONTANA STATE UNIVERSITY SYSTEM,1008009,2016-69003-24616,Reducing the antibiotic resistance gene reservoir by plasmid curing,National Institute of Food and Agriculture,NIFA Non Formula,149514.0,"Walk, SE.",ACTIVE,"Once bacteria have become resistant to antibiotics, they do not lose this resistance easily. Certain chemicals already approved to be safe in humans and animals at low levels may increase the rate that bacteria lose antibiotic resistance. This benefit may outweigh the use of such chemicals in agriculture by making foods safer for human consumption. This project will test whether SDS and menthol, two chemical compounds currently present in a variety of human foods and cosmetics, can be used to make bacteria in animals more sensitive to antibiotics.","The long-term goal of this research is to decrease the reservoir of antibiotic resistance genes in food production animals by administration of bacterial plasmid curing compounds. This project will characterize in vitro plasmid curing activity of menthol and SDS on a well-characterized set of carbapenemase- and ESBL-producing Enterobacteriaceae. It will also determine whether administration of SDS and menthol can cure R-plasmids from ESBL-producing Enterobacteriaceae in mice.Specific objectives:1) Quantify plasmid loss under varying levels of plasmid curing agents (menthol and SDS), temperature (room temperature and mammalian and avian body temperature), and bacterial density (low and high).2) Co-culture R-plasmid carrying strains against R-plasmid cured counterparts to quantify differences in relative fitness.3) Colonize germ-free mice with R-plasmid carrying strains of Enterobacteriaceae and treat with plasmid curing agents (menthol and SDS).4) Quantify loss of R-plasmids in Enterobacteriaceae from mouse fecal pellets.5) Remove plasmid curing agents and monitor bacterial population dynamics to understand the longer-term effects of plasmid curing agents.","ESBL Enterobacteriaceae, R-plasmid, antibiotic resistance, plasmid curing"
PROJECT,"PENNSYLVANIA STATE UNIVERSITY, THE",1008011,2016-67011-24710,Weed management under global warming: biocontrol agent phenological mismatch,National Institute of Food and Agriculture,NIFA Non Formula,77386.0,"Keller, JO, A.",ACTIVE,"Effective weed management is an important part of productive farming. Some weeds are managed using insects that consume them. Often, the effectiveness of these insects depends on how synchronized they are with the weed that they target. If the insects are active too early or too late in the season relative to the weed that they target, they are less successful, and farmers either suffer lost productivity because there are more weeds on their land or spend more money managing weeds in other ways, such as by mowing or spraying with herbicide. Warmer temperatures are changing the seasonal timing of plant and animal activities. If beneficial insects and the weeds they consume have different responses to warming, the insects may become less effective, potentially costing farmers money. Musk thistle is one weed that is managed using insects. This weed causes large productivity losses in pastures, where sheep and cattle avoid its spiny leaves. This project aims to determine how rising temperatures will affect synchrony between musk thistle and one of the insects that is used to manage it, namely, the thistle head weevil.In order to accomplish this goal, we will conduct an outdoor experiment where we observe weevil activity on musk thistle at three different temperatures: ambient temperatures, mildly elevated temperatures achieved using fiberglass chambers, and more substantially elevated temperatures achieved using heaters. We will observe when musk thistle develops and when weevils are actively causing damage to musk thistle at each of these temperatures. We will also quantify how much damage the weevils cause to musk thistle at each of these temperatures. These measurements will allow us to predict how effective weevils will be at managing musk thistle as temperatures rise. We will use computer models to predict how changes in the timing of weevil activity will effect musk thistle population growth and also to investigate how mowing can be used to help efficiently manage musk thistle should the weevils become less effective. This information will assist farmers as they decide how to manage musk thistle in their pastures. Additionally, this experiment will help us to better understand how temperature influences seasonal interactions between plants and insects, which will be important in many other systems.",This project&#39;s first main goal is to advance the PD&#39;s development into an independent researcher.Supporting objectives for the first major goal include:1. To make use of state-of-the-art techniques to experimentally manipulate temperature in field experiments2. To continue to expand experimental design skills by taking courses in agroecology and integrated weed management3. To gain proficiency in key decision-making approaches for improved weed management by participating in a tutorial focused on population modeling4. To mentor promising undergraduate students through Penn State&#39;s Women in Science and Engineering (WISE) and Minority Undergraduate Research Experience (MURE) programs.5. To improve communication skills by publishing work in basic and applied peer-reviewed journals and presenting results at academic conferences6. Toconnect with farmers and landowners by presenting at Penn State&#39;s Ag Progress Days and leading a workshop on thistle management at the Pennsylvania Association for Sustainable Agriculture&#39;s Farming for the Future conference.The project&#39;s second main goal is to investigate the impact of climate change on seasonal synchrony between a weed and its biological control agent and to quantify changes in control efficacy resulting from changes in synchrony.Supporting objectives for the second main goal include:1. To measure temperature&#39;s effect on phenological synchrony between the model weed Carduus nutans and its biological control agent Rhinocyllus conicus in a field experiment2. To quantify changes in the efficacy of R. conicus as a control agent due to altered phenology3. To synthesize findings in specific management recommendations for C. nutans under warmer conditions expected in the future.,"Carduus nutans, biological control, climate change, phenology, weed management"
PROJECT,SAES - CORNELL UNIVERSITY,1008016,2016-67013-24414,Developing crop microbiomes for enhanced nitrogen utilization,National Institute of Food and Agriculture,NIFA Non Formula,456318.0,"Kao-Kniffin, JE.",ACTIVE,"Much of the United States agricultural system relies on breeding desirable traits that include high yield, disease suppression, and drought tolerance, among others. One of the constraints of relying on breeding techniques to improve crop traits is the issue of time. For most breeding programs, one selection cycle occurs annually, which means that we have only 35 breeding cycles until 2050--a critical global time point that centers on the question of how to feed over 9 billion people. It is unlikely that breeding alone will provide the solutions to increase yields for sustaining human population growth, while also responding to changes in climate. Our research project addresses this concern by initiating research that focuses on assembling collections of soil microbiota--bacteria, fungi, and viruses--that altogether, reinforce desirable crop traits. In essence, we are ""breeding"" groups of plant-associated microbiota that are able to enhance plant yield by enriching plant root zones with beneficial microorganisms. At present, many top agribusiness companies, including Monsanto, Syngenta, Dupont, and BASF, are investing in microbial-based methods that influence crop traits. Industry is relying primarily on a single species or strain of microorganism as an inoculant in plant seeds or directly into soils. Our approach differs in that it includes complex communities of microorganisms that are assembled through repeated selections on the plant host trait, such as biomass or seed yield. The short lifecycle of bacteria and their ability to shift population structure rapidly, in response to selection, facilitates the breeding of soil microbiota for plant production systems.By 2050, the human population is expected to reach over 9 billion people, with the majority concentrated in Africa, Southern Asia, and Eastern Asia. For parts of these sections of the world, it is challenging to develop intensive agricultural systems routinely using industrial ammonia fertilizers to sustain high yields. Synthetic fertilizers (based on the Haber-Bosch process) consume high amounts of fossil fuel energy in their manufacture and contribute to chronic nonpoint source pollution in hotspots of agricultural production, such as found in the Salinas Valley area of California. Developing a plant microbiome focus to international crop production will help promote sustained yields in major parts of the world lacking the capacity for industrial-based agriculture, in addition to maintaining crop productivity in the U.S. Many cropping systems already include a focus on the microbiome for improved nutrient management; these include rhizobia for legumes and several arbuscular mycorrhizal fungi (AMF) for cereal crops. However, plants that do not form associations with symbionts rely heavily on fertilizer additions. Brassica crop production (many cultivars of which serve as the green vegetable staple of many populations in developing countries) would benefit heavily from greater nitrogen management via soil biotic manipulations, and serve as a model for additional crops that do not form symbiotic relationships.The proposed research will include sequencing of the microbiomes in an effort to identify who comprises the microbiomes that are associated with an enhanced seed yield phenotype and corresponding high nitrogen capture traits. We will be using 16S and 18S bar-coded paired-end reads for characterization of the soil microbiome using the Illumina HiSeq platform. The sequencing methods will allow us to assess how the microbiomes change in community composition over generations of selection, in relation to the development of higher seed yield in the host plants. Functional analysis using plant RNA-Seq, soil extracellular enzyme activity, plant tissue 15N enrichment, and nitrogen mineralization will help explain how the microbiomes are modifying plant phenotypes via plant gene expression and coordinated resource gain. These fundamental investigations into the interactions of plants and their associated microbiota will help pave the way for microbiome-enhancement of agricultural production systems.",Our goals are to: 1) Characterize the assemblages of microbial communities over generations of selection for enhanced nitrogen use efficiency of plants; 2) experimentally test the ability of the selected microbiomes to increase nitrogen use efficiency across different types of plants and soils; and 3) examine how microbiomes alter plant functioning and the potential mechanisms of how microbiomes influence plant nitrogen use efficiency.,"isotopes, microbiome, nitrogen, nutrient use, nutrient use efficiency, transcriptome"
PROJECT,UNIVERSITY OF ILLINOIS,1008035,2016-67012-24705,An Integrated Approach to Increasing Farmers Market Use among Lower Income African American Families,National Institute of Food and Agriculture,NIFA Non Formula,148051.0,"Singleton, CH, RE.",ACTIVE,"Disparities in healthy food access persist in the US that disproportionally affect low-income and minority communities. Direct farm-to-consumer retail outlets such as farmers markets have been proposed as a strategy to improved healthy food access, nutrition and health in low-income communities. Despite the development of USDA-sponsored food assistance programs that incentivize use of farmers markets by low-income families, studies have observed lower rates of usage among low-income African Americans. Additionally, these studies have found that lack of awareness is a major barrier to farmers market usage. The overarching goal of this integrated project is to combine research and extension to develop a mechanism to increase farmers market use among low-income African American families. We aim to accomplish the following: 1) Assess awareness, attitudes and perceptions of farmers market use among low-income African American families 2) Determine if market nutrition environment affects usage by auditing local farmers markets in African American communities 3) Work alongside community stakeholders to test the feasibility and acceptability of a culturally-tailored nutrition education program designed to increase usage of farmers markets among low-income African American families. This integrated project addresses the AFRI FY 2015 Foundational Area of Food Safety, Nutrition and Health and Challenge Area of Childhood Obesity Prevention because it aims to positively influence the diet-related behaviors of low-income African American families. This project is relevant to the goals of the AFRI ELI Fellowships Grants Program because it will develop the program director&#39;s capacity to develop and deliver research-based extension programs.","Inadequate availability of healthy food in lower income communities across the US is a major public health and social justice issue. Studies have shown that disparities in food environment persist with several lower income and minority communities having reduced access to grocery stores and increased access to outlets that retail unhealthy, calorie-dense foods such as convenience stores and fast food restaurants. Poor access to affordable healthy food has been widely hypothesized to be associated with public health concerns such as food insecurity and obesity. Growing concern for these adverse nutrition outcomes has led to the review of national strategies to address food environment disparities. Retail outlets that support the distribution of locally grown food through direct farm-to-consumer sales (i.e. farmers markets, farm/roadside stands, community gardens, urban farms) have been proposed by researchers, policy makers and health agencies as a strategy to increase access to healthy food in the US. Today, farmers markets persist as the most popular and widely used farm-to-consumer outlet in communities across the US. Increasing the availability of farmers markets may alter the diet and diet-related behaviors of individuals residing in communities with limited access to healthy food. Although the total amount of farmers markets has increased substantially in the past decade, studies have reported the amount of lower income African Americans that utilize these outlets to purchase healthy food is low despite the existence of USDA Food and Nutrition Service programs that promote the use of farmers markets. The overarching goal of this project is to develop a mechanism to increase farmers market use among low-income African American families. We are proposing to take an integrated approach that combines research and extension to examine the barriers and facilitators of farmers market use among lower income African American families and develop and test the feasibility of a culturally-tailored nutrition education program designed to increase use of farmers markets among lower income African American families living in an urban setting. This project proposes to accomplish the following objectives:1.) Examine awareness, attitudes and perception of farmers market use among lower income SNAP eligible African American adults with at least one child less than 18 years old.2.) Examine relationships between neighborhood demographic and socioeconomic characteristics (e.g. % African American, median income) and the nutrition environment of local farmers markets.3.) Design, implement and test the feasibility of a community-based nutrition education program aimed to increase usage of farmers markets among lower income African American families.","african american, awareness, farmers market, low-income, urban"
PROJECT,VET - COLORADO STATE UNIVERSITY-SCHOOL OF VETERINARY MEDICINE,1007493,2016-67001-24538,Rice Bran and Bean Metabolomes for Human Dietary Exposure Biomarkers,National Institute of Food and Agriculture,NIFA Non Formula,1624919.0,"Ryan, EL.",ACTIVE,"Whole grain brown rice, rice bran, and dry beans are inexpensive, healthy staple foods with low U.S. consumption. Numerous evidences exist for promoting increased consumption of brown rice and dry beans for chronic disease prevention , yet prospective evaluation of health outcomes remains difficult due to lack of reliable dietary intake biomarkers. Our completed, short-term feeding studies with fixed amounts of rice bran and navy beans in children with elevated cholesterol and adult colorectal cancer survivors provide a novel opportunity for assessing dietary biomarkers of intake. Rice and beans merit biomarkers for nutritional assessment without reliance on self-reported intakes for whole grains and legumes during nutrition assessments as wheat, barley, rye and soybeans have been studied in dietary patterns and for relationships with disease risk. A major challenge with validating dietary biomarkers is that an elevated level of consumption is often required for reliable quantification, and emerging evidence supports that the overall dietary pattern (e.g. vegetarian, omnivore) can influence the profile of metabolites detected. The identification and validation of dietary biomarkers using metabolomics is an emerging field of investigation with broad-spectrum applications of health importance, and is the major focus of the research strategy for developing rice bran and navy bean biomarkers in children and adults herein. These studies will set the foundation for evaluating Rice Bran (RB) and Navy Beans (NB) intake to other important diet-disease relationships.","Our team identified metabolite profile distinctions across varieties of &#39;cooked&#39; whole grain rice, rice bran, and dry beans, that will help us identify related metabolic byproducts in humans. Moreover, our scientific knowledge of changes in liver gene expression and microbiota in response to elevated bean consumption from our animal studies also provided key insights into food metabolism that influences biomarker identification and detection.Aim 1: The control meals/snacks will yield profiles for common foods (e.g. fatty acids, specific amino acids) that are not specific to Rice Bran (RB) and Navy Beans (NB), and will provide a strong comparison for evaluating which RB or NB constituents add or replace small molecules detected in control meals and snacks.Aim 2: Blood, urine and stool metabolomes from BENEFIT (Beans/Bran Enriching Nutritional Eating For Intestinal health Trial) participants will reveal candidate dietary biomarker profiles specific for RB or NB intake.Aim 3: Blood plasma metabolomes of children that completed the one-month dietary intervention study will reveal candidate dietary biomarker exposure profiles for RB or NB intake.","dietary biomarkers, dry bean, metabolome, rice bran"
PROJECT,COLORADO STATE UNIVERSITY,1007506,2016-67021-24456,Study of Ammonia and Methane Emissions from Animal Feeding Operations using Unmanned Aerial System Laser Sensors,National Institute of Food and Agriculture,NIFA Non Formula,494062.0,"Yalin, AZ.",ACTIVE,"US agriculture emits 3.5 Tg of ammonia per year through fertilizer application and livestock waste. These ammonia emissions have important impacts on air quality and ecosystems downwind of the sources. Ammonia may contribute to airborne fine particulate matter, which can adversely affect health, visibility and climate, while deposition of ammonia and ammonium to soils can change plant growth charateristics.The proposed project will use laser sensors deployed on small unmanned aerial systems (sUAS) to measure ammonia and methane emissions from concentrated animal feeding operations (CAFOs) and to quantify ammonia deposition downwind of CAFOs. Key innovations of the emissions monitoring system include: 1) simultaneous ammonia (NH3) and methane (CH4) detection using open-path cavity ring-own spectroscopy, 2) sUAS flight capabilities that are more nimble, safer and more cost effective to operate than manned aircraft, and 3) inversion and flux modeling to infer sources, fluxes, and ammonia deposition. In addition to providing an improved means to quantify amonia emissions and deposition, we will seek to identify new best practices to mitigate their negative effects, for example, planting crops downwind of sites to increase local ammonia deposition and reduce deposition at further locations. The methane measurements will provide source fluxes to quantify the carbon footprint of CAFOs. More broadly, the project will also demonstrate the possibility of certifying and flying sUAS at agricultural sites which can also be useful for crop, soil, and canopy imaging, as well as animal health monitoring and other applications.","The main goal of this project is to develop new technology that uses UAS-mounted open path laser sensors for measuring CAFO-scale NH3 emissions and local N deposition while also yielding farm scale CH4 fluxes. The technology will greatly improve our ability to judge the potential for long distance transport of fugitive NH3 from livestock and the carbon footprint of beef production.The main objectives of the proposed project are:Develop lightweight open-path laser sensor for ammonia and methane and integrate to an sUAS.Obtain needed certification from the FAA to operate the sUAS at a cooperator site in eastern Colorado.Perform flight campaigns to quantify local N deposition using the downwind change in NH3:CH4 ratio, and measure methane and ammonia emissions from the site, supported by ground (tower) measurements.Perform additional measurements from the ground (tower) and mobile vehicles both during and between the UAS campaigns to provide better temporal coverage and determine if N deposition can be accurately measured without the need for sUAS.Use numeric models to infer sources and to quantify the ammonia deposition in the downwind shadow of the site.Use these findings to infer how management of crops and vegetation downwind of beef feedlots could maximize N deposition and become part of a best management plan for mitigating impacts of emissions.","ammonia, deposition, emissions, methane, sensors, unmanned aerial system, unmanned aerial vehicle"
PROJECT,SAES - UNIVERSITY OF KENTUCKY,1007544,2016-67021-24462,Dev. Of A Can-Based Data Management And Decision Support System For Optimal Equipment And Harvest Timing From Grain Harvest To Storage,National Institute of Food and Agriculture,NIFA Non Formula,0.0,"Sama, MI, PA.",ACTIVE,"During harvest there is a need for decision models to help producers manage weather risks and costs associated with timeliness. This project will improve system efficiency and economic sustainability and is intended to encompass field machinery, transportation to storage, and storage, which is relevant to the Agricultural Systems and Technology program area. Field conditions and equipment performance, as a function of moisture, will be integrated with geospatial parameters to achieve site specific recommendations.The trend of ""big data"" in agriculture will continue to produce enormous amounts of data that are often underutilized. This project will apply data to develop and validate a model that will enable grain producers to make informed, information driven decisions relevant to harvest timing. Additionally, producers will be able to evaluate changes in infrastructure, utilization, and equipment ratios against potential losses due to timeliness.Data logged from the CAN-bus on field equipment, logistic data from transportation vehicles, and data logged from the grain dryer and storage facility will be used to define equipment performance and interactions. Field studies will be utilized to define losses from modern equipment and hybrids as a function of grain moisture over multiple crops in a three year period at a commercial farm.The proposed work differs from previous research in its scope, site specific recommendations, and the quantity of data that will be used to inform the model. The resulting model will use a geospatial platform to allow producers to incorporate the effects of specific field locations and geometry.","Modernize an expert capacity-based decision model that considers percent operating time, labor, energy consumption, and cost from harvest through delivery to the first storage location.Incorporate CAN-based data on mobile equipment to quantify model parameters including: speed, harvest rate, equipment efficiency, energy, labor, and grain yield.Integrate the effects of weather, and harvest timing on grain yield, daily harvest productivity, grain losses (weather and machine), and grain quality (test weight, mechanical damage, and mold damage).Compare various modeling techniques (Monte Carlo, artificial neural networks (ANN&#39;s), and operations research) and assess their applicability to modeling large data sets.Validate the model using a geographically separate data set and time motion studies.","economics, efficiency, energy, grain, model"
