TYPE,Grantee Name,Accession Number,Award Number,Project Title,Sponsoring Agency,Funding Mechanism,Award Amount,Project Director Full Name,Project Status,Keywords
PROJECT,UNIVERSITY OF ALASKA FAIRBANKS,0192392,2002-34404-12164,Seafood Quality and Safety FY 2002,National Institute of Food and Agriculture,NIFA Non Formula,319894.0,"Smiley, S. T.",COMPLETE,"shellfish, shelf life, food preservation, food quality, listeria monocytogenes, organic acids, inhibition, shipping, environmental stress, food safety, food processing, quality maintenance, product improvement, human nutrition, alaska, quality evaluation, market analysis, food microbiology, food handling, process development, bacterial contamination, food contamination, crabs, food analysis, glycogen, indexes, clams, oysters"
PROJECT,UNIVERSITY OF ALASKA SYSTEM,0195435,2003-34404-14061,Seafood Quality and Safety FY 2003,National Institute of Food and Agriculture,NIFA Non Formula,325052.0,"Smiley, SC.",COMPLETE,"alaska, bacterial diseases, clams, disease transmission, education, extension, food industry, food nutritive value, food processing, food quality, food safety, inhibitors, listeria, new technology, nutrient composition, organic acids, oysters, quality maintenance, research, salmon, shellfish, shipping, stress, survival, workshops, world wide web, seafood"
PROJECT,"Alaska Manufacturers` Assoication, Inc.",0195442,2003-38884-02003,Salmon Quality Standards,National Institute of Food and Agriculture,NIFA Non Formula,130188.0,"Arnsdorf, DA, R..",COMPLETE,"alaska, certification, consumer demand, demand, fish, food economics, food handling, food industry, food inspection, food marketing, food prices, food processing, food quality, food waste, grading, harvesting, market competition, new technology, seafood, shelf life, standards, salmon"
PROJECT,SHELDON JACKSON COLLEGE,0196851,2003-38426-13913,Enriching Sheldon Jackson College's Fisheries Science and Environmental Science Programs,National Institute of Food and Agriculture,NIFA Non Formula,201859.0,"Harrington, D. R.",COMPLETE,"environmental science, recruitment, alaska, fisheries, hatcheries, salmon, fish production, aquaculture, education programs, limnology, fish, skill development, education, community colleges, opportunities, teacher education, teachers, computers, students, employment, knowledge, retention"
PROJECT,SAES - UNIVERSITY OF ALASKA,0200300,2004-34518-15040,Alaska Seed Grower's Assistance Program,National Institute of Food and Agriculture,NIFA Non Formula,334308.0,"Lewis, C. E.",COMPLETE,"alaska, seed production, revegetation, native grasses, grass seed, seeds, perennial grasses, range management, production management, production efficiency, technical assistance, manuals, information dissemination, education programs, educational materials, lolium multiflorum, forbs"
PROJECT,SAES - UNIVERSITY OF ALASKA,0205134,2005-34418-16499,Continuing Research into New Crops for Alaska,National Institute of Food and Agriculture,NIFA Non Formula,413917.0,"Lewis, C. E.",COMPLETE,"cold hardiness, reindeer, haylage, alaska, new crops, flowers, diversification, livestock, muskoxen, tree diameter, small logs, turf grasses, pre harvest, product quality, quality maintenance, reproductive performance, carcasses, meat processing, meat cuts, genetic markers, milk yields, milk composition, forest stands, golf courses, sports, cut flowers"
PROJECT,ALASKA GREEN GOLD,0204369,2005-33610-16315,"Growing, Evaluating and Marketing Seed Potatoes in China",National Institute of Food and Agriculture,NIFA Non Formula,296000.0,"SMITH, D. C.",COMPLETE,"seed potatoes, alaska, certification, potatoes, plant growth, plant evaluation, marketing, china, law, government regulations, crop varieties, variety tests, new varieties, interviews, international trade, exports, imports, market competition, pricing, prices"
PROJECT,UNIVERSITY OF ALASKA,0204528,2005-38426-16049,Drumbeats: Place Appropriate Careers and Higher Education Preparation for Alaska Native Students,National Institute of Food and Agriculture,NIFA Non Formula,2186883.0,"Johnson, C.",COMPLETE,"veterinary medicine, botany, zoology, environment, curriculum, curriculum content, culture (sociology), education programs, alaska, ethnic groups, american indians, ethnobotany, reindeer, science, college students, certification, rural communities, animal husbandry, careers, colleges, recruitment, information dissemination, distance education"
PROJECT,"Alaska Manufacturers` Assoication, Inc.",0204991,2005-38884-02373,Salmon Quality Standards - 2005,National Institute of Food and Agriculture,NIFA Non Formula,155061.0,"Bertmaring, HU.",COMPLETE,"alaska, aquaculture, certification, data analysis, fisheries, fishing, food processing, food products, food quality, grades, harvesting, inspection, market competition, quality maintenance, record systems, research equipment, seafood, sensory evaluation, standards, tracking, uniformity, verification, wild fish, salmon"
PROJECT,UNIVERSITY OF ALASKA FAIRBANKS,0204775,2005-34422-16376,"Seafood Harvesting, Processing and Marketing Program FY2005",National Institute of Food and Agriculture,NIFA Non Formula,988028.0,"Smiley, SC.",COMPLETE,"alaska, education programs, extension programs, fish, fish oil, fisheries, food marketing, food processing, food quality, food safety, gelatin, harvesting, ice, logging, microencapsulation, moisture content, new products, quality maintenance, recovery, research programs, slurries, soluble proteins, seafood"
